code_service_ch,reference_document,art_cgi_1,art_cgi_2,art_cgi_3,art_cgi_4,art_cgi_5,numero_disposition,date_mutation,nature_mutation,valeur_fonciere,adresse_numero,btq,type_voie,code_voie,voie,code_postal,nom_commune,code_departement,code_commune,prefixe_section,section,numero_plan,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,id_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,nature_culture_speciale,surface_terrain,millesime
,,,,,,,000001,2025-06-13,Vente,"360078,00",,,,B038,FONTENOY,60350,PIERREFONDS,60,491,,B,790,,,,,,,,,,,,0,,,,,,J,POTAG,1020,2025-s1
,,,,,,,000001,2025-06-13,Vente,"360078,00",,,,B038,FONTENOY,60350,PIERREFONDS,60,491,,B,789,,,,,,,,,,,,0,,,,,,J,POTAG,765,2025-s1
,,,,,,,000001,2025-06-13,Vente,"360078,00",,,,B038,FONTENOY,60350,PIERREFONDS,60,491,,B,788,,,,,,,,,,,,0,,,,,,J,POTAG,687,2025-s1
,,,,,,,000001,2025-06-13,Vente,"360078,00",15,,RUE,0060,DE FONTENOY,60350,PIERREFONDS,60,491,,B,787,,,,,,,,,,,,0,1,Maison,,80,3,S,,333,2025-s1
,,,,,,,000001,2025-06-11,Vente,"795000,00",20,,RUE,0060,DE FONTENOY,60350,PIERREFONDS,60,491,,B,784,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,,90,0,S,,841,2025-s1
,,,,,,,000001,2025-06-11,Vente,"795000,00",20,,RUE,0060,DE FONTENOY,60350,PIERREFONDS,60,491,,B,784,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,841,2025-s1
,,,,,,,000001,2025-06-11,Vente,"795000,00",20,,RUE,0060,DE FONTENOY,60350,PIERREFONDS,60,491,,B,784,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,841,2025-s1
,,,,,,,000001,2025-06-11,Vente,"795000,00",,,,B038,FONTENOY,60350,PIERREFONDS,60,491,,B,783,,,,,,,,,,,,0,,,,,,J,POTAG,1093,2025-s1
,,,,,,,000001,2025-06-11,Vente,"795000,00",20,,RUE,0060,DE FONTENOY,60350,PIERREFONDS,60,491,,B,784,,,,,,,,,,,,0,1,Maison,,165,5,S,,841,2025-s1
,,,,,,,000001,2025-05-07,Vente,"330000,00",30,,RUE,0220,DE TOUT VENT,60350,PIERREFONDS,60,491,,E,1246,,,,,,,,,,,,0,1,Maison,,73,3,S,,1408,2025-s1
,,,,,,,000001,2025-05-07,Vente,"330000,00",,,,B089,TOUT VENT,60350,PIERREFONDS,60,491,,E,526,,,,,,,,,,,,0,,,,,,J,POTAG,1055,2025-s1
,,,,,,,000001,2025-04-28,Vente,"220000,00",18,,RUE,0105,JEAN LENOIR,60350,PIERREFONDS,60,491,,B,561,,,,,,,,,,,,0,1,Maison,,232,7,S,,210,2025-s1
,,,,,,,000001,2025-04-28,Vente,"220000,00",18,,RUE,0105,JEAN LENOIR,60350,PIERREFONDS,60,491,,B,561,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,210,2025-s1
,,,,,,,000001,2025-04-28,Vente,"220000,00",,,,B092,LA VILLE,60350,PIERREFONDS,60,491,,B,2204,,,,,,,,,,,,0,,,,,,S,,190,2025-s1
,,,,,,,000001,2025-04-28,Vente,"220000,00",18,,RUE,0105,JEAN LENOIR,60350,PIERREFONDS,60,491,,B,561,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,210,2025-s1
,,,,,,,000001,2025-04-28,Vente,"220000,00",,,,B092,LA VILLE,60350,PIERREFONDS,60,491,,B,1781,,,,,,,,,,,,0,,,,,,S,,191,2025-s1
,,,,,,,000001,2025-04-22,Vente,"249000,00",19,,RUE,0095,DE L IMPERATRICE EUGENIE,60350,PIERREFONDS,60,491,,B,1096,,,,,,,,,,,,0,1,Maison,,93,5,S,,436,2025-s1
,,,,,,,000001,2025-04-02,Vente,"94000,00",25,,RUE,0175,PISSELOTTE,60350,PIERREFONDS,60,491,,B,1171,,,,,,,,,,,,0,1,Maison,,73,3,S,,225,2025-s1
,,,,,,,000001,2025-03-26,Vente,"53000,00",,,,B003,BOIS D HAUCOURT,60350,PIERREFONDS,60,491,,B,85,,,,,,,,,,,,0,,,,,,J,POTAG,623,2025-s1
,,,,,,,000001,2025-03-14,Vente,"145000,00",,,,B003,BOIS D HAUCOURT,60350,PIERREFONDS,60,491,,B,30,,,,,,,,,,,,0,,,,,,S,,370,2025-s1
,,,,,,,000001,2025-03-14,Vente,"145000,00",35,,RUE,0015,DU BOIS D HAUCOURT,60350,PIERREFONDS,60,491,,B,29,,,,,,,,,,,,0,1,Maison,,83,5,S,,265,2025-s1
,,,,,,,000001,2025-03-14,Vente,"145000,00",,,,B003,BOIS D HAUCOURT,60350,PIERREFONDS,60,491,,B,2007,,,,,,,,,,,,0,,,,,,L,FRICH,176,2025-s1
,,,,,,,000001,2025-03-11,Vente,"210000,00",5,,IMP,0165,DE LA NOUE,60350,PIERREFONDS,60,491,,B,475,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,528,2025-s1
,,,,,,,000001,2025-03-11,Vente,"210000,00",5,,IMP,0165,DE LA NOUE,60350,PIERREFONDS,60,491,,B,475,,,,,,,,,,,,0,1,Maison,,100,3,S,,528,2025-s1
,,,,,,,000001,2025-03-11,Vente,"210000,00",5,,IMP,0165,DE LA NOUE,60350,PIERREFONDS,60,491,,B,475,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,528,2025-s1
,,,,,,,000001,2025-02-27,Vente,"440000,00",7,,CHE,0217,DE ST NICOLAS DE COURSON,60350,PIERREFONDS,60,491,,B,40,,,,,,,,,,,,0,1,Maison,,150,5,S,,639,2025-s1
,,,,,,,000001,2025-02-27,Vente,"440000,00",,,,B003,BOIS D HAUCOURT,60350,PIERREFONDS,60,491,,B,51,,,,,,,,,,,,0,,,,,,AB,,419,2025-s1
,,,,,,,000001,2025-02-27,Vente,"440000,00",,,,B003,BOIS D HAUCOURT,60350,PIERREFONDS,60,491,,B,52,,,,,,,,,,,,0,,,,,,J,POTAG,1654,2025-s1
,,,,,,,000001,2025-02-10,Vente,"162000,00",,,,B075,LE ROCHER,60350,PIERREFONDS,60,491,,B,2583,,,,,,,,,,,,0,,,,,,J,POTAG,1785,2025-s1
,,,,,,,000001,2025-02-10,Vente,"162000,00",,,,B075,LE ROCHER,60350,PIERREFONDS,60,491,,B,2584,,,,,,,,,,,,0,,,,,,S,,12,2025-s1
,,,,,,,000001,2025-02-10,Vente,"261361,00",21,,RUE,0210,SOEUR AURELIE,60350,PIERREFONDS,60,491,,B,2021,,,,,,,,,,,,0,1,Maison,,69,4,S,,793,2025-s1
,,,,,,,000001,2025-02-10,Vente,"261361,00",,,,B074,RIAUVERGNE,60350,PIERREFONDS,60,491,,B,421,,,,,,,,,,,,0,,,,,,T,,225,2025-s1
,,,,,,,000001,2025-02-10,Vente,"261361,00",,,,B074,RIAUVERGNE,60350,PIERREFONDS,60,491,,B,1479,,,,,,,,,,,,0,,,,,,T,,148,2025-s1
,,,,,,,000001,2025-02-04,Vente,"604000,00",7,,CHE,0032,DU CORROY,60350,PIERREFONDS,60,491,,E,1061,,,,,,,,,,,,0,1,Maison,,296,6,S,,500,2025-s1
,,,,,,,000001,2025-02-04,Vente,"604000,00",7,,CHE,0032,DU CORROY,60350,PIERREFONDS,60,491,,E,1061,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,500,2025-s1
,,,,,,,000001,2025-02-04,Vente,"604000,00",,,,B024,AU DESSUS DU CORROY,60350,PIERREFONDS,60,491,,E,1078,,,,,,,,,,,,0,,,,,,AG,,1710,2025-s1
,,,,,,,000001,2025-02-04,Vente,"604000,00",7,,CHE,0032,DU CORROY,60350,PIERREFONDS,60,491,,E,1061,,,,,,,,,,,,0,3,Dépendance,,0,0,AG,,1101,2025-s1
,,,,,,,000001,2025-02-04,Vente,"604000,00",,,,B024,AU DESSUS DU CORROY,60350,PIERREFONDS,60,491,,E,1055,,,,,,,,,,,,0,,,,,,AG,,67,2025-s1
,,,,,,,000001,2025-02-04,Vente,"604000,00",7,,CHE,0032,DU CORROY,60350,PIERREFONDS,60,491,,E,1061,,,,,,,,,,,,0,1,Maison,,296,6,AG,,1101,2025-s1
,,,,,,,000001,2025-01-30,Vente,"77500,00",,,,B050,LA MARE AUX CANES,60350,PIERREFONDS,60,491,,ZH,9,,,,,,,,,,,,0,,,,,,T,,67870,2025-s1
,,,,,,,000001,2025-01-30,Vente,"77500,00",,,,B020,LE CORROY,60350,PIERREFONDS,60,491,,ZE,3,,,,,,,,,,,,0,,,,,,T,,10792,2025-s1
,,,,,,,000001,2025-01-30,Vente,"77500,00",,,,B020,LE CORROY,60350,PIERREFONDS,60,491,,ZE,3,,,,,,,,,,,,0,,,,,,T,,2158,2025-s1
,,,,,,,000001,2025-01-30,Vente,"77500,00",,,,B020,LE CORROY,60350,PIERREFONDS,60,491,,ZE,2,,,,,,,,,,,,0,,,,,,T,,21242,2025-s1
,,,,,,,000001,2025-01-30,Vente,"77500,00",,,,B020,LE CORROY,60350,PIERREFONDS,60,491,,ZE,2,,,,,,,,,,,,0,,,,,,T,,4248,2025-s1
,,,,,,,000001,2025-01-06,Vente,"265000,00",9002,,SEN,0200,DE LA SAUTELLE,60350,PIERREFONDS,60,491,,B,1922,,,,,,,,,,,,0,1,Maison,,107,4,S,,692,2025-s1
,,,,,,,000001,2025-01-06,Vente,"265000,00",,,,B078,RUE MELAINE,60350,PIERREFONDS,60,491,,B,696,,,,,,,,,,,,0,,,,,,S,,117,2025-s1
